Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Mongolia;1,26;;;1,65;;;2,04;;;;;;;;;;;;;;;9;;ITU estimate.;9,8;;ITU estimate based on survey results 2010 and previous data from Communications Regulatory Commission of Mongolia;10;;ITU estimate based on survey results 2010 and previous data from Communications Regulatory Commission of Mongolia;10,2;Refers to total population.;National Statistical Office of Mongolia;12,5;;National Statistical Office of Mongolia;16,4;from Household Socio-Economic survey-2012;National Statistical Office of Mongolia;17,7;All population;National Statistical Office of Mongolia;19,94;All population;National Statistical Office of Mongolia;22,5;All population;National Statistical Office of Mongolia;22,27;All population;National Statistical Office of Mongolia;23,71;All population;ITU estimate.;47,13;Break in comparability. Population age 15+.;National Statistical Office of Mongolia;51,08;;National Statistical Office of Mongolia;62,5;;National Statistical Office of Mongolia
Internet users (%);Montenegro;;;;;;;;;;;;;25,35;;Agency for Telecommunications and Postal Services.;27,1;;ITU estimate.;28,9;;ITU estimate.;30,8;;ITU estimate.;32,9;;ITU estimate.;35,1;;ITU estimate.;37,5;;ITU estimate.;35,61;Population age 16-74.;Statistical Office of Montenegro - MONSTAT;56,84;Population age 16-74.;Statistical Office of Montenegro;60,31;Population age 16-74.;Eurostat.;61;;ITU estimate.;68,12;;Statistical Office of Montenegro;69,88;;Statistical Office of Montenegro;71,27;;Statistical Office of Montenegro;71,52;;Statistical Office of Montenegro;73,48;;Statistical Office of Montenegro;77,61;;Statistical Office of Montenegro
Internet users (%);Montserrat;;;;;;;;;;;;;;;;;;;25,91;;;20,43;;ITU estimate.;20,32;;ITU estimate.;20,26;;ITU estimate.;35;;Ministry of Communications & Works;54,55;;Statistics Department;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Morocco;0,69;;Agence nationale de réglementation des télécommunications.;1,37;;Agence nationale de réglementation des télécommunications.;2,37;;Agence nationale de réglementation des télécommunications.;3,35;;Agence nationale de réglementation des télécommunications.;11,61;Population age 12-65 using Internet at least once during the last month.;Agence nationale de réglementation des télécommunications.;15,08;Population age 12-65 using Internet at least once during the last month.;Agence nationale de réglementation des télécommunications.;19,77;Population age 12-65 using Internet at least once during the last month.;Agence nationale de réglementation des télécommunications.;21,5;Population age 12-65 using Internet at least once during the last month.;Agence Nationale de Réglementation des Télécommunications;33,1;Population age 12-65 using Internet at least once during the last month.;Agence Nationale de Réglementation des Télécommunications;41,3;Population age 12-65.;Agence Nationale de Réglementation des Télécommunications;52;Estimate for population age 6-74 in electrified areas (98% of households are in electrified areas (with 86,4% in rural areas)).;Agence Nationale de Réglementation des Télécommunications;46,11;Population age 12-65. Living in electrified areas.;Agence Nationale de Réglementation des Télécommunications;55,42;Population aged 6 to 74 using Internet in the last 12 months.;AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS;56;Population aged 5 to 75 using Internet in the last 12 months.;AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS;56,8;Population aged 5 to 75 using Internet in the last 3 months.;AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS;57,08;;Agence Nationale de Réglementation des Télécommunications;58,27;;Agence Nationale de Réglementation des Télécommunications;61,76;;Direction de la Statistique;64,8;;Direction de la Statistique;74,38;;Direction de la Statistique;84,12;;Agence Nationale de Réglementation des Télécommunications
Internet users (%);Mozambique;0,11;;Telecomunicaçoes de Moçambique (TDM).;0,16;;Telecomunicaçoes de Moçambique (TDM).;0,26;;Telecomunicaçoes de Moçambique (TDM).;0,42;;Instituto Nacional das Comunicações de Moçambique (INCM).;0,68;;Instituto Nacional das Comunicações de Moçambique (INCM).;0,85;;ITU estimate.;0,84;;Instituto Nacional das Comunicações de Moçambique (INCM).;0,91;;INCM;1,56;;INCM;2,68;;INCM;4,17;;Instituto Nacional das Comunicaç?es de Moçambique;4,6;;ITU estimate.;5;;ITU estimate.;5,5;;ITU estimate.;6;;ITU estimate.;6,5;;ITU estimate.;7;;ITU estimate.;7,8;Population age 3+.;INSTITTO NACIONAL DE ESTATISTICA, INE;10,9;;ITU estimate.;15,1;;ITU estimate.;16,5;;ITU estimate.
Internet users (%);Myanmar;;;;0;;;0;;;0,02;;;0,02;;;0,07;;;0,18;;Ministry of Communications, Posts and Telegraphs.;0,22;;Ministry of Communications, Posts and Telegraphs.;0,22;;Ministry of Communications, Posts and Telegraphs;0,22;;ITU estimate.;0,25;;Ministry of Communications, Posts and Telegraphs;0,98;;Ministry of Communications, Posts and Telegraphs;1,4;;ITU estimate.;1,8;;ITU estimate.;7,4;;ITU estimate.;10,9;;ITU estimate.;16;;ITU estimate.;23,62;Population age 15+.;Central Statistical Organization;28,7;;ITU estimate.;34,9;;ITU estimate.;35,1;;ITU estimate.
Internet users (%);Namibia;1,64;;Telecom Namibia.;2,42;;Telecom Namibia.;2,63;;Namibian Communications Commission (NCC).;3,36;;Namibian Communications Commission (NCC).;3,8;;Namibian Communications Commission (NCC).;4,01;;ITU estimate.;4,4;;Namibian Communications Commission (NCC).;4,84;;Namibian Communications Commission (NCC).;5,33;;Namibian Communications Commission (NCC).;6,5;;ITU estimate.;11,6;;Central Bureau of Statistics;12;;ITU estimate.;12,94;;ITU estimate.;13,9;;ITU estimate.;14,84;;ITU estimate.;25,69;;ITU estimate.;31,03;;ITU Estimate.;36,84;;ITU estimate.;40;;ITU estimate.;40,5;;ITU estimate.;41;;ITU estimate.
Internet users (%);Nauru;;;;2,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;Population age 15+.;"Nauru Bureau of Statistics
Government Ministry of Finance";;;;;;;;;;;;;;;;62,39;;ITU Estimate.;;;;;;;;;
Internet users (%);Nepal (Republic of);0,2;;Nepal Telecom.;0,24;December 2001.;Nepal Telecom.;0,31;;Nepal Telecom.;0,38;;Nepal Telecommunications Authority (NTA).;0,45;;Nepal Telecommunications Authority (NTA).;0,83;;Nepal Telecommunications Authority (NTA).;1,14;;Nepal Telecommunications Authority (NTA).;1,41;;Nepal Telecommunications Authority;1,73;;Nepal Telecommunications Authority;1,97;;Nepal Telecommunications Authority;7,93;December.;Nepal Telecommunications Authority;9;December.;Nepal Telecommunications Authority;11,15;;ITU estimate.;13,3;;ITU estimate.;15,44;;ITU estimate.;17,58;;ITU estimate.;20,7;;ITU Estimate.;24,3;Findex, 15+.;Findex.;28,6;;ITU estimate.;32,8;Estimate based on MICS.;ITU estimate.;37,7;;ITU estimate.
Internet users (%);Neth. Antilles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Netherlands;43,98;;KPN, Libertel.;49,37;;Independent Post and Telecommunications Authority (OPTA).;61,29;Population age 16-74 using Internet in the last 3 months.;Eurostat.;64,35;Population age 16-74 using Internet in the last 3 months.;Eurostat.;68,52;Population age 16-74 using Internet in the last 3 months.;Eurostat.;81;Population age 16-74 using Internet in the last 12 months.;Eurostat.;83,7;Population age 16-74 using Internet in the last 12 months.;Eurostat.;85,82;Population age 16-74 using Internet in the last 12 months.;Eurostat.;87,42;Population age 16-74 using Internet in the last 12 months.;Eurostat.;89,63;Population age 16-74 using Internet in the last 12 months.;Eurostat.;90,72;Population age 16-74 using Internet in the last 12 months.;Eurostat.;91,42; Users in the last 3 months. Age 16-74.;Eurostat.;92,86; Users in the last 3 months.;Eurostat.;93,96;Population age 16-74.;Eurostat.;91,67;Break in series. Population age 12+.;Statistics Netherlands.;91,72;;ITU;90,41;;ITU;93,2;;Statistics Netherlands;91,89;;Statistics Netherlands;93,29;;Statistics Netherlands;91,33;;Statistics Netherlands
Internet users (%);New Caledonia;13,94;;Office des Postes et des Télécommunications (OPT).;18,24;;Office des Postes et des Télécommunications (OPT).;22,39;;Office des Postes et des Télécommunications (OPT).;26,41;;Office des Postes et des Télécommunications (OPT).;30,3;;Office des Postes et des Télécommunications (OPT).;32,36;;Office des Postes et des Télécommunications (OPT).;33,52;;Office des Postes et des Télécommunications (OPT).;35,05;;Office des Postes et Télécommunications de Nouvelle-Calédonie;34,51;;Office des Postes et Télécommunications de Nouvelle-Calédonie;33,99;;Office des Postes et Télécommunications de Nouvelle-Calédonie;42;;ITU estimate. ;50;;ITU estimate. ;58;;ITU estimate.;66;;ITU estimate.;70;;ITU estimate.;74;;ITU estimate.;;;;82,01;;ITU estimate.;;;;;;;;;
Internet users (%);New Zealand;47,38;;ITU estimate.;53,24;;ITU estimate.;59,08;;ITU estimate.;60,96;;ITU estimate.;61,85;;ITU estimate.;62,72;;ITU estimate.;69;Population age 15+.;Statistics New Zealand.;69,76;Estimate based on survey's results. Population age 15+.;ITU estimate.;72,03;Estimate based on survey's results. Population age 15+.;ITU estimate.;79,7;Population age 15+.;Statistics New Zealand.;80,46;;ITU estimates.;81,23;;ITU estimates.;81,64;Recent users are those who used the Internet in the last 12 months. Individuals age 15+.;Statistics New Zealand;82,78;;ITU estimate.;84;;ITU estimate.;85,2;;ITU estimate.;86,5;;ITU Estimate.;87,7;;ITU estimate.;89;;ITU estimate.;90,2;;ITU estimate.;91,5;;ITU estimate.
Internet users (%);Nicaragua;0,98;;;1,45;;;1,71;;;1,88;;;2,32;;;2,57;;;2,81;;Instituto Nacional de Información de Desarrollo;3,9;;ITU estimate.;5,3;;ITU estimate.;7,3;;ITU estimate.;10;;ITU estimate.;10,6;;Instituto Nicaraguense de Telecomunicaciones y Correos;13,5;;ITU estimate.;15,5;;ITU estimate.;17,6;;ITU estimate.;19,7;;ITU estimate.;24,57;;ITU Estimate.;30,4;;ITU estimate.;37,6;;ITU estimate.;37,8;;ITU estimate.;45,2;;ITU estimate.
Internet users (%);Niger;0,04;;;0,11;;;0,13;;;0,16;;ITU estimate.;0,19;;ITU estimate.;0,22;;ITU estimate.;0,29;;ITU estimate.;0,39;;ITU estimate.;0,7;;Institut National de la Statistique (INS).;0,76;;Institut National de la Statistique;0,83;;ITU estimate.;0,9;;Institut National de la Statistique;1,05;;ITU estimate.;1,15;;ITU estimate.;1,25;Population age 14+.;Institut National de la Statistique (INS).;2,48;;ITU estimate.;4,32;;ITU Estimate.;10,22;Population age 15+;Ministère des Postes, des Télécommunications et de l'Economie Numérique;;;;;;;;;
Internet users (%);Nigeria;0,06;;Nigerian Telecommunications Plc (NITEL).;0,09;;Nigerian Telecommunications Plc (NITEL).;0,32;;Nigerian Communications Commission (NCC).;0,56;;Nigerian Communications Commission (NCC).;1,29;;Nigerian Communications Commission (NCC).;3,55;;NCC estimate.;5,55;;Nigerian Communications Commission (NCC).;6,77;;ITU estimate.;8;;ITU estimate.;9,3;;ITU estimate.;11,5;;ITU estimate.;13,8;;ITU estimate.;16,1;;ITU estimate.;19,1;;ITU estimate.;21;;ITU estimate.;24,5;;ITU estimate.;25,67;;ITU Estimate.;28;;ITU estimate.;31,9;;ITU estimate.;33,6;;ITU estimate.;35,5;;ITU estimate.
Internet users (%);Niue;26,51;;;32,66;;;39,15;;;43,13;;;47,34;;;51,7;;;56,25;;ITU estimate.;61,01;;ITU estimate.;65,92;;ITU estimate.;74,48;;ITU estimate.;76,97;;ITU estimate.;79,56;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Norfolk Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);North Macedonia;2,49;;Makedonski Telekomunikacii A.D.;3,47;;Makedonski Telekomunikacii A.D.;17,33;;Makedonski Telekomunikacii A.D.;19,07;;Makedonski Telekomunikacii A.D.;24,44;Population age 16-74.;Eurostat.;26,45;Population age 16-74.;ITU estimate.;28,62;Population age 16-74.;Eurostat.;36,3;Population age 16-74.;ITU estimate.;46,04;Population age 16-74.;Eurostat.;51,77;Population age 16-74.;Eurostat.;51,9;"Population age 15-74.
";Agency for Electronic Communications;56,7;Population age 15-74.;Agency for Electronic Communications;57,45; Population age 16-74 using in the last 3 months.;Eurostat.;65,24; Population age 16-74 using in the last 3 months.;Eurostat.;68,06; Population age 16-74 using in the last 3 months.;Eurostat;70,38;Last 3 months.;Eurostat;72,16;Last 3 months.;ITU;74,52;;State Statistical Office;79,17;;State Statistical Office;81,41;;State Statistical Office;81,41;;State Statistical Office
Internet users (%);Northern Marianas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Norway;52;;ITU estimate.;64;;ITU estimate.;72,84;;ITU estimate.;78,13;Population age 16-74.;Eurostat.;77,69;Population age 16-74.;Eurostat.;81,99;Population age 16-74.;Eurostat.;82,55;Population age 16-74.;Eurostat.;86,93;Population age 16-74.;Eurostat.;90,57;Population age 16-74.;Eurostat.;92,08;Population age 16-74.;Eurostat.;93,39;"Population age 16-74.
";Eurostat.;93,49; Users in the last 3 months. Age 16-74.;Eurostat.;94,65; Users in the last 3 months.;Eurostat.;95,05;Population age 16-74.;Eurostat.;96,3;Population age 16-74.;Eurostat;96,81;Last 3 months.;Statistics Norway;97,3;Last 3 months.;Statistics Norway;96,36;Last 3 months. Population 16-79.;Statistics Norway;96,49;Population 16-79.;Statistics Norway;98;;Statistics Norway;97;;Statistics Norway
Internet users (%);Oman;3,52;Based on the number of Internet subscriptions, a multiplier of 3.54 was used to estimate the proportion of Internet users. ;;5,89;Based on the number of Internet subscriptions, a multiplier of 3.54 was used to estimate the proportion of Internet users. ;;6,87;Based on the number of Internet subscriptions, a multiplier of 3.54 was used to estimate the proportion of Internet users. ;;7,26;;;6,76;;;6,68;;;8,3;;;16,68;Excl. mobile Internet users. ;Telecommunications Regulatory Authority;20;;Telecommunication Regulatory Authority;26,8;;ITU estimate.;35,83;Population age 5+. Census.;Telecommunication Regulatory Authority;48;;ITU estimate.;60;;ITU estimate.;66,45;Population age 5+. Excluding population living in workers’ camps.;ITA.;70,22;;ITU estimate.;73,53;;ITU estimate.;76,85;;Information Technology Authority (ITA) ;80,19;;ITU estimate.;85,5;;ITU estimate.;90,3;;ITU estimate.;95,23;;Ministry of Transport, Communications and Information Technology
Internet users (%);Pakistan;;;;1,32;;;2,58;;;5,04;;;6,16;;;6,33;;;6,5;;ITU estimate. ;6,8;;ITU estimate. ;7;;ITU estimate. ;7,5;;ITU estimate. ;8;;ITU estimate. ;8;;ITU estimate. ;8,1;;ITU estimate. ;9;;ITU estimate. ;10;;ITU estimate. ;11;;ITU estimate.;12,39;;Pakistan Bureau of Statistics ;13,78;;ITU estimate.;15,34;;ITU estimate.;17,07;;Pakistan Bureau of Statistics;25;;ITU estimate.
Internet users (%);Palau;;;;;;;20,24;;;21,6;;;26,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Palestine;1,11;;;1,84;;;3,1;;;4,13;;;4,4;;;16,01;Population age 10+.;ITU estimate. ;18,41;Population age 10+.;Palestinian Central Bureau of Statistics;21,18;Population age 10+.;ITU estimate. ;24,36;Population age 10+.;ITU estimate.;32,23;Population age 10+.;Palestinian Central Bureau of Statistics;37,4;Refers to total population.;ITU estimate.;41,08;Refers to total population.;ITU estimate based on Palestinian Central Bureau of Statistics;43,4;;Palestinian Central Bureau of Statistics;46,6;;ITU estimate.;53,67;Population age 10+.;Palestinian Central Bureau of Statistics;56,7;;ITU estimate.;59,9;;ITU Estimate.;63,3;;ITU estimate.;64,4;;Palestinian Central Bureau of Statistics;70,62;;Palestinian Central Bureau of Statistics;74,6;;ITU estimate.
Internet users (%);Panama;6,55;;;7,27;;;8,52;;;9,99;;;11,14;;;11,48;;;17,35;;;22,29;;Autoridad Nacional de los Servicios Públicos;33,82;Multipliers were applied to residential and commercial suscriptions, taking into account the average size of households and employees per business.;Autoridad Nacional de los Servicios Públicos (ASEP);39,08;Multipliers were applied to residential and commercial suscriptions, taking into account the average size of households and employees per business.;Autoridad Nacional de los Servicios Públicos (ASEP);40,1;"
Multipliers were applied to residential and commercial suscriptions, taking into account the average size of households and employees per business.";Autoridad Nacional de los Servicios Públicos (ASEP);42,7;Preliminary.;Autoridad Nacional de los Servicios Públicos (ASEP);40,3;last 6 months. Population age 10+.;Instituto Nacional de Estadística y Censo;44,03;Population age 10+.;Instituto Nacional de Estadística y Censo;44,92;Population age 10+.;Instituto Nacional de Estadística y Censo;51,21;;ITU;54;;ITU Estimate.;59,95;;Instituto Nacional de Estadística y Censo;61,81;;Instituto Nacional de Estadística y Censo;63,63;;Instituto Nacional de Estadística y Censo;64,25;;ITU estimate.
Internet users (%);Papua New Guinea;0,84;;Telikom PNG.;0,9;;Telikom PNG.;1,32;;Telikom PNG.;1,37;;Telikom PNG.;1,51;;Telikom PNG.;1,72;;Telikom PNG.;1,75;;Telikom PNG.;1,79;;ITU estimate.;1,15;Population age 10+.;National Information & Communications Technology Authority;1,61;Population age 10+.;National Information & Communications Technology Authority;1,28;Population age 10+.;National Information & Communications Technology Authority;2;;ITU estimate.;3,5;;ITU estimate.;5,1;;ITU estimate.;6,5;;ITU estimate.;7,9;;ITU estimate.;9,6;;ITU Estimate.;11,21;;ITU estimate.;;;;;;;;;
Internet users (%);Paraguay;0,75;;Comisión Nacional de Telecomunicaciones.;1,1;;Comisión Nacional de Telecomunicaciones.;1,79;;Comisión Nacional de Telecomunicaciones.;2,11;;Comisión Nacional de Telecomunicaciones.;3,45;;Comisión Nacional de Telecomunicaciones.;7,91;Population age 10+ using internet in the last 3 months. ;Dirección General de Estadística, Encuestas y Censos;7,96;Estimated based on Survey's results. Population age 10+.;ITU estimate.;11,21;Population age 10+ using internet in the last 3 months. ;Dirección General de Estadística, Encuestas y Censos;14,27;Population age 10+ using internet in the last 3 months. ;Dirección General de Estadística, Encuestas y Censos;18,9;Population age 10+ using internet in the last 3 months. ;Dirección General de Estadística, Encuestas y Censos;19,8;Population age 10+ using internet in the last 3 months. ;Comisión Nacional de Telecomunicaciones;24,76;Population age 10+ using internet in the last 3 months. ;Dirección General de Estadística, Encuestas y Censos (DGEEC);29,34;Population age 10+ using internet in the last 3 months. ;Direccion General de Estadistica, Encuestas y Censos;36,9;Population age 10+ using internet in the last 3 months. ;Direccion General de Estadistica, Encuestas y Censos;43;Population age 10+ using internet in the last 3 months. ;Direccion General de Estadistica, Encuestas y Censos;49,72;Dato recalculado debido a la disponibilidad de nuevos ponderadores, ajustados a las nuevas proyecciones de población basadas en el último Censo Nacional de Población y Viviendas de 2012;Direccion General de Estadistica, Encuestas y Censos;53,4;;Direccion General de Estadistica, Encuestas y Censos;61,08;;Direccion General de Estadistica, Encuestas y Censos;64,99;;Direccion General de Estadistica, Encuestas y Censos;68,52;;Direccion General de Estadistica, Encuestas y Censos;73,96;;Instituto Nacional de Estadística (INE)
Internet users (%);Peru;3,08;;ITU estimate.;7,58;;Maximixe estimate.;8,97;;Maximixe estimate.;11,6;;Instituto Nacional de Estadística e Informática;14,1;Estimated based on Survey's results (2003 and 2008).;ITU estimate based on INEI.;17,1;Estimated based on Survey's results (2003 and 2008).;ITU estimate based on INEI.;20,7;Estimated based on Survey's results (2003 and 2008).;ITU estimate based on INEI.;25,2;Estimated based on Survey's results (2003 and 2008).;ITU estimate based on INEI.;30,57;Population age 6+ using Internet in the last month.;Instituto Nacional de Estadística e Informática;31,4;Population age 6+.;Ministerio de Transportes y Comunicaciones;34,77;Population age 6+.;Instituto Nacional de Estadística e Informática;36,01;Población de 6 y más  años de edad;INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI);38,2;Population age 6+.;Instituto Nacional de Estadistica e Informatica;39,2;Population age 6+.;Instituto Nacional de Estadistica e Informatica;40,2;Population age 6+.;Instituto Nacional de Estadistica e Informatica;40,85;;Instituto Nacional de Estadistica e Informatica;45,46;El periodo de referencia es el mes anterior.;Instituto Nacional de Estadistica e Informatica;50,45;El periodo de referencia es el mes anterior.;Instituto Nacional de Estadistica e Informatica;55,05;;Instituto Nacional de Estadistica e Informatica;59,95;;Instituto Nacional de Estadistica e Informatica;65,25;;Instituto Nacional de Estadistica e Informatica
Internet users (%);Philippines;1,98;;National Telecommunications Commission (NTC).;2,52;;National Telecommunications Commission (NTC).;4,33;;National Telecommunications Commission (NTC).;4,86;;National Telecommunications Commission (NTC).;5,24;;National Telecommunications Commission (NTC).;5,4;;ITU estimate.;5,74;;National Telecommunications Commission (NTC).;5,97;;National Telecommunications Commission (NTC).;6,22;;National Telecommunications Commission (NTC).;9;;National Telecommunications Commission (NTC).;25;;NATIONAL TELECOMMUNICATIONS COMMISSION;29;;ITU estimate.;30,8;;ITU estimate.;32,7;;ITU estimate.;34,7;;ITU estimate.;36,9;;ITU estimate.;39,2;;ITU estimate.;41,6;;ITU estimate.;44,1;;ITU estimate.;43,03;;Office of the National Statistician, Philippine Statistics Authority;49,8;;ITU estimate.
Internet users (%);Poland;7,29;;Office of Electronic Communications.;9,9;;Office of Electronic Communications.;21,15;;Office of Electronic Communications.;24,87;;Office of Electronic Communications.;32,53;Population age 16-74.;Eurostat.;38,81;Population age 16-74.;Eurostat.;44,58;Population age 16-74.;Eurostat.;48,6;Population age 16-74.;Eurostat.;53,13;Population age 16-74.;Eurostat.;58,97;Population age 16-74.;Eurostat.;62,32;Population age 16-74.;Eurostat.;61,95; Users in the last 3 months. Age 16-74.;Eurostat.;62,31; Users in the last 3 months.;Eurostat.;62,85;Population age 16-74.;Eurostat.;66,6;Population age 16-74. Last three months.;Central Statistical Office.;68;Individuals aged 16-74 who used the Internet in the last 3 months.;Central Statistical Office;73,3;;ITU;75,99;individuals aged 16-74 who use the Internet in the last 3 months ;Central Statistical Office;77,54;;Statistics Poland;80,44;;Statistics Poland;83,18;;Statistics Poland
Internet users (%);Portugal;16,43;;EuroBarometer. ITU estimate. UMIC.;18,09;;EuroBarometer. ITU estimate. UMIC.;19,37;Population age 16-74 using Internet in the last 3 months.;Eurostat.;29,67;Population age 16-74.;Eurostat.;31,78;Population age 16-74.;Eurostat.;34,99;Population age 16-74.;Eurostat.;38,01;Population age 16-74.;Eurostat.;42,09;Population age 16-74.;Eurostat.;44,13;Population age 16-74.;Eurostat.;48,27;Population age 16-74.;Eurostat.;53,3;Population age 16-74.;Eurostat.;55,25; Users in the last 3 months. Age 16-74.;Eurostat.;60,34; Users in the last 3 months.;Eurostat.;62,1;Population age 16-74.;Eurostat.;64,59;Population age 16-74.;Eurostat;68,63;;Instituto Nacional de Estatistica;70,42;;Instituto Nacional de Estatistica;73,79;;Instituto Nacional de Estatistica;74,66;;Instituto Nacional de Estatistica;75,35;;Statistics Portugal;78,26;;Statistics Portugal
Internet users (%);Puerto Rico;10,47;;Puerto Rico Telephone Company (PRTC).;15,63;;Puerto Rico Telephone Company (PRTC).;17,55;;Puerto Rico Telephone Company (PRTC).;19,71;;Puerto Rico Telephone Company (PRTC).;22,13;;Puerto Rico Telephone Company (PRTC).;23,4;;ITU estimate.;25,44;;Puerto Rico Telephone Company (PRTC).;27,86;;Instituto de Estadísticas de Puerto Rico;38;Source: Estudios Técnicos, Inc., Internet Pulse, 2008.  Reference population: All inhabitants 12 years and older.  ;Puerto Rico Institute of Statistics;41,5;Population age 12+. ;ITU estimate.;45,3;Source: Estudios Técnicos, Inc., Internet Pulse, 2010.  Reference population: All inhabitants 12 years and older.  ;Puerto Rico Institute of Statistics;48;Source: Estudios Técnicos, Inc., Estudio de comportamiento sobre el uso de medios digitales y móviles, 2011.  Reference population: All inhabitants 12 years and older.  ;Puerto Rico Institute of Statistics;69;Source: Connect Puerto Rico. 2012 Connect Puerto Rico Residential Technology Assessment. www.connectpr.org;Instituto de Estadisticas de Puerto Rico;69;Population age 18+.;Instituto de Estadisticas de Puerto Rico;69;;ITU estimate.;63,47;;Puerto Rico Institute of Statistics;68,64;Number of individuals who used the Internet in the last three months at home. ;Puerto Rico Institute of Statistics;68,74;U.S. Census Bureau, 2017 ACS 1-Year Estimates – PUMS. Release date: October 31, 2018.;Puerto Rico Institute of Statistics;70,86;;Puerto Rico Institute of Statistics;77,74;;Puerto Rico Institute of Statistics;;;
Internet users (%);Qatar;4,86;;;6,17;;;10,23;;;19,24;;;20,7;;;24,73;;;28,97;;;37;;ictQATAR;44,3;;ITU estimate.;53,1;;ITU estimate.;69;Refers to overall population. ;Supreme Council of Information & Communication Technology ;69;Refers to overall population.;ITU estimate.;69,3;Overall population.;Ministry Of Information & Communication Technology (ictQATAR);85,3;Preliminary. Refers to overall population.;Ministry Of Information & Communication Technology (ictQATAR);91,49;;ITU estimate.;92,88;;Ministry of Transport and Communications;95,12;;;97,39;;Ministry of Transport and Communications;99,65;;Ministry of Transport and Communications;99,65;;Ministry of Transport and Communications;99,65;;Ministry of Transport and Communications
Internet users (%);Réunion [included in France data];13,82;;;16,3;;;20,05;;;23,67;;;25,89;;;28,06;;;30,18;;ITU estimate.;32,25;;ITU estimate.;34,29;;ITU estimate.;36,28;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Romania;3,61;;Rom-Telecom.;4,54;;Rom-Telecom.;6,58;;National Regulatory Authority for Communications.;8,9;;ITU estimate based on Eurostat.;15;;Eurostat.;21,5;Estimated based on Survey's results. Population age 16-74.;ITU estimate based on Eurostat.;24,66;Population age 16-74.;Eurostat.;28,3;Population age 16-74.;Eurostat.;32,42;Population age 16-74.;Eurostat.;36,6;Population age 16-74.;Eurostat;39,93;Population age 16-74.;Eurostat.;40,01; Users in the last 3 months. Age 16-74.;Eurostat.;45,88; Users in the last 3 months.;Eurostat.;49,76;Population age 16-74.;Eurostat.;54,08;Population age 16-74.;Eurostat;55,76;Number of individuals internet user in the last 3 months;National Institute of Statistics;59,5;Number of individuals internet user in the last 3 months;National Institute of Statistics;63,75;Number of individuals internet user in the last 3 months;National Institute of Statistics;70,68;;National Institute of Statistics;73,66;;National Institute of Statistics;78,46;;National Institute of Statistics
Internet users (%);Russian Federation;1,98;;;2,94;;;4,13;;;8,3;;;12,86;;;15,23;;;18,02;;;24,66;;Ministry of Telecom and Mass Communications of the Russian Federation;32;;ITU estimate.;42,55;Population age 16-74;State Statistics Committe.;49;Population age 16-74.;Information Society Indicators in the Russian Federation - 2016 Data book;58;Population age 16-74.;Information Society Indicators in the Russian Federation - 2016 Data book;66;Population age 18-74;Information Society Indicators in the Russian Federation - 2016 Data book;67,97;Population age 15-72.;Federal State Statistics Service of the Russian Federation;70,52;Population age 15-72 who used the Internet in the last 12 months.;Federal State Statistics Service of the Russian Federation;70,1;Break in comparability. Number of population aged 15-72 years who used the Internet in the last 3 months;Federal State Statistics Service of the Russian Federation;73,09;Population aged 15-72 years who used the Internet in the last 3 months;Federal State Statistics Service of the Russian Federation;76,01;Number of population aged 15-74 years who used the Internet in the last 3 months ;Federal State Statistics Service of the Russian Federation;80,86;;Federal State Statistics Service of the Russian Federation;82,64;;Federal State Statistics Service of the Russian Federation;84,99;;Federal State Statistics Service
