Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Libya;0,19;;Ministry of Transport and Communications.;0,37;;Ministry of Transport and Communications.;2,24;;Ministry of Transport and Communications.;2,81;;Ministry of Transport and Communications.;3,53;;Ministry of Transport and Communications.;3,92;;ITU estimate.;4,3;;ITU estimate.;4,72;;Ministry of Transport and Communications.;9;;ITU estimate.;10,8;;ITU estimate.;14;;ITU estimate.;14;;ITU estimate.;15,2;;;16,5;;ITU estimate.;17,76;;ITU estimate.;;;;;;;;;;;;;;;;;;
Internet users (%);Liechtenstein;36,52;;;45,12;;;59,47;;;58,81;;;64,01;;;63,37;;;64,21;;;65,08;;ITU estimate.;70;;ITU estimate.;75;;ITU estimate.;80;;ITU estimate. ;85;Estimate.;Office for Communications;89,41;;ITU estimate.;93,8;;ITU estimate.;95,21;;ITU estimate.;96,64;;ITU estimate.;98,09;;ITU Estimate.;99,55;;ITU estimate.;;;;;;;;;
Internet users (%);Lithuania;6,43;;Lithuanian Telecom.;7,18;;Lithuanian Telecom.;17,69;Population age 16-74 using Internet in the last 3 months.;Eurostat.;25,91;Population age 16-74 using Internet in the last 3 months.;Eurostat.;31,23;Population age 16-74 using Internet in the last 12 months.;Eurostat.;36,22;Population age 16-74 using Internet in the last 12 months.;Eurostat.;43,9;Population age 16-74 using Internet in the last 12 months.;Eurostat.;49,9;Population age 16-74 using Internet in the last 12 months.;Eurostat.;55,22;Population age 16-74 using Internet in the last 12 months.;Eurostat.;59,76;Population age 16-74 using Internet in the last 12 months.;Eurostat.;62,12;Population age 16-74 using Internet in the last 12 months.;Statistics Lithuania.;63,64; Users in the last 3 months. Age 16-74.;Eurostat.;67,23; Users in the last 3 months.;Eurostat.;68,45;Population age 16-74.;Eurostat.;72,13;Population age 16-74.;Eurostat;71,38;individuals between 16 and 74;Statistics Lithuania;74,38;individuals between 16 and 74;ITU;77,62;individuals between 16 and 74;Statistics Lithuania;79,72;;Statistics Lithuania;81,58;;Statistics Lithuania;83,06;;Statistics Lithuania
Internet users (%);Luxembourg;22,89;;Institut Luxembourgeois de Régulation.;36,16;Population age 12+.;ILRES.;39,84;Population age 16-74, in the last 3 months.;Eurostat.;54,55;Population age 16-74.;Eurostat.;65,88;Population age 16-74.;Eurostat.;70;Population age 16-74.;Eurostat.;72,51;Population age 16-74.;Eurostat.;78,92;Population age 16-74.;Eurostat.;82,23;Population age 16-74.;Eurostat and Statec.;87,31;Population age 16-74.;Eurostat.;90,62;Population age 16-74.;Eurostat.;90,03; Users in the last 3 months. Age 16-74.;Eurostat.;91,95; Users in the last 3 months.;Eurostat.;93,78;Population age 16-74.;Eurostat.;94,67;Population age 16-74.;Eurostat;96,38;;Service Central de la Statistique et des Etudes Economiques (STATEC);98,14;;Service Central de la Statistique et des Etudes Economiques (STATEC);97,36;;Service Central de la Statistique et des Etudes Economiques (STATEC);97,06;;Service Central de la Statistique et des Etudes Economiques (STATEC);97,12;;Service Central de la Statistique et des Etudes Economiques (STATEC);98,82;;Service Central de la Statistique et des Etudes Economiques (STATEC)
Internet users (%);Macao, China;13,61;;Estimated by DSTR.;22,52;;Estimated by DSTR.;25,17;;Estimated by DSTR.;25,74;;Estimated by DSTR.;31,48;;Estimated by DSTR.;34,86;;Estimated by DSTR.;46,4;Population age 3+. (Break in comparability);Statistics and Census Service;47,33;Estimated based on survey's results. Population age 3+.;ITU estimate.;49,24;Population age 3+.;Statistics and Census Service;54;Population age 3+.;Statistics and Census Service;55,2;Population age 3+.;Statistics and Census Service;60,2;last 3 months.;Statisitics and Census Service;61,31;Population age 3+.;Statistics and Census Service;65,8;Population age 3+.;Statistics and Census Service;69,78;Population age 3+.;Statistics and Census Service;77,6;Individuals aged 3 and above using computer/Internet in the last 3 months prior to the date of interview.;Statistics and Census Service;81,64;Individuals aged 3 and above using computer/Internet/mobile in the last 3 months prior to the date of interview.;Statistics and Census Service;83,17;Individuals aged 3 and above using computer/Internet/mobile in the last 3 months prior to the date of interview.;Statistics and Census Service;83,79;;Statistics and Census Service;86,47;;Statistics and Census Service;88,1;;ITU estimate.
Internet users (%);Madagascar;0,2;;;0,22;;;0,34;;;0,42;;ITU estimate.;0,53;;ITU estimate.;0,57;;ITU estimate.;0,61;;ITU estimate.;0,65;;ITU estimate.;1,65;;ITU estimate.;1,63;;ITU estimate.;1,7;;ITU estimate.;1,9;;ITU estimate.;2,3;;ITU estimate.;3;;ITU estimate.;3,7;;ITU estimate.;4,17;;ITU estimate.;4,71;;ITU Estimate.;9,8;;ITU estimate.;15;;ITU estimate.;;;;;;
Internet users (%);Malawi;0,13;;;0,16;;;0,22;;;0,28;;;0,35;;;0,38;;;0,43;;;0,97;;Malawi Communications Regulatory Authority.;0,7;;Malawi Communications Regulatory Authority;1,07;;Malawi Communications Regulatory Authority;2,26;;Malawi Communications Regulatory Authority;3,33;;"Malawi Communications Regulatory Authority
";4,35;;ITU estimate.;5,05;;ITU estimate.;5,83;;ITU estimate.;6;;ITU estimate.;6,3;;ITU estimate.;7;;ITU estimate.;8;;ITU estimate.;9,9;;ITU estimate.;;;
Internet users (%);Malaysia;21,38;;PIKOM.;26,7;;PIKOM.;32,34;;PIKOM.;34,97;;PIKOM.;42,25;;PIKOM.;48,63;;PIKOM.;51,64;;PIKOM.;55,7;;Malaysian Communications and Multimedia Malaysia;55,8;Refers to total population.;Malaysian Communications and Multimedia Malaysia;55,9;Refers to total population.;Malaysian Communications and Multimedia Malaysia;56,3;Refers to total population.;Malaysian Communications and Multimedia Commission;61;Refers to total population.;Malaysian Communications and Multimedia Commission;65,8;Refers to total population.;Malaysian Communications and Multimedia Commission;57,06;Population age 15+.;Department of Statistics;63,67;Population age 15+.;Department of Statistics;71,06;;Department of Statistics;78,79;Estimates by DOSM;Department of Statistics;80,14;;Department of Statistics;81,2;;Department of Statistics;84,19;;Department of Statistics;89,56;;Department of Statistics, Malaysia
Internet users (%);Maldives;2,2;Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.;Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).;3,62;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).;5,35;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).;5,98;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).;6,59;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).;6,87;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Telecommunications Authority of Maldives (TAM).;11,04;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Telecommunications Authority of Maldives (TAM).;16,3;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Communications Authority of Maldives;23,2;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Communications Authority of Maldives;24,8;Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.;Communications Authority of Maldives;26,53;Population age 15+. Census.;Statistics Division, Department of National Planning;34;;ITU estimate. ;38,93;;ITU estimate.;44,1;;ITU estimate.;49,28;;ITU estimate.;54,46;;ITU estimate.;59,09;;ITU Estimate.;61,25;;ITU estimate.;62,07;;ITU estimate.;62,5;;ITU estimate.;62,93;;ITU estimate.
Internet users (%);Mali;0,14;;;0,19;;;0,23;;;0,31;;;0,43;;;0,51;;;0,73;;;0,81;;Comité de Régulation des Télécommnications CRT;1,57;;Comité de Régulation des Télécommnications CRT;1,8;;ITU estimate.;2;;ITU estimate.;2,2;;Institut National de la Statistique (ex Direction Nationale de la Statistique et de l'Informatique);2,8;;ITU estimate.;3,5;;ITU estimate.;7;;ITU estimate.;10,33;;ITU estimate.;14;;ITU Estimate.;18,9;Findex.;ITU estimate.;21,4;Estimate based on DHS.;ITU estimate.;24,2;;ITU estimate.;27,4;;ITU estimate.
